	MR3	MR12	MR9	MR7	MR5	MR2	MR1	MR6	MR4	MR10	MR8	MR14	MR15	MR11	MR13
Premature.death	0.0506418424265752	0.319540871932878	0.547842076278708	0.261071774800674	-0.0770704314087543	0.011743090393467	0.0647432135085573	0.0679126930767684	0.0248220073148864	0.0347489172742601	0.0226764530283451	-0.059744722382048	-0.0627886389953015	0.0191358474060894	-0.0852082451903363
Poor.or.fair.health	0.312047258897534	-0.016392448952489	0.248179404007024	0.261928850499515	0.0875677554685703	-0.0241310297164709	0.457906460052079	-0.00963698716415562	0.0521535744385297	0.0784330730832832	0.0113287518488228	-0.122434762457549	-0.0236658415408678	-0.0387314558742334	-0.119227484818544
Poor.physical.health.days	0.109417878879503	-0.149050979261903	0.480961542657308	0.136683206771206	0.0358523793911071	-0.0134391251999803	0.504210171179053	0.0460783746217496	0.0982367689465862	-0.00475671779364286	-0.00192140243526968	-0.0270445737125561	-0.0065187481926275	-0.0740842960742429	-0.142070344158172
Poor.mental.health.days	0.013996475108684	-0.0198361678963653	0.515953713715425	0.203228404902658	-0.0198312725275831	0.0162284148811492	0.444827083369698	-0.083235303472311	-0.0497779938192339	0.0610098433478338	-0.0285843718422093	0.0536427158885748	0.0194978213780454	-0.0523972103789618	-0.0320927660031351
Low.birthweight	-0.0611586583896736	0.658022172086253	0.127170083156881	0.229395120046292	0.0860617763498502	-0.0618761377810366	-0.0812000329655825	-0.13231519189757	-0.00358892318571073	0.0516450512262806	0.00389160051626309	0.125485917533904	0.00739996391496658	-0.17123490224319	-0.0511749957645619
Adult.smoking	-0.0664856294313763	0.0405037066191903	0.407308654863314	0.274977543243341	-0.118395891660747	-0.0662834493403905	0.270223659367038	0.239207921231385	0.0491571641626814	0.0552157631660605	0.0346180169927546	0.0225885623281114	-0.0544556692862313	0.128699764889189	-0.0915357193181527
Adult.obesity	-0.0812819007193193	0.239957761606718	-0.0166340887147971	0.364769238521033	-0.351812699894305	-0.154293166944199	0.167583020432347	0.25632823608183	0.0383541890327242	0.0799740305249162	0.0138595652779278	-0.166329947497057	-0.0624097740373343	-0.0262324456899144	-0.0662658578852292
Food.environment.index	-0.293582469391446	-0.7220572971722	-0.0732377990987348	0.149236375271866	0.00730941049168509	0.109865954729136	-0.0964983299677321	-0.000367520421940704	-0.0229851641675915	0.091054691975506	0.016789330415319	0.201420787962928	0.0430690233399166	-0.00587898490745736	0.0155106807913707
Physical.inactivity	-0.0436296983745632	0.129161582713878	0.12189288647562	0.548159157533029	-0.11272261958179	-0.084386054778136	0.0469661111720335	0.281711300876795	0.0467589907458937	0.0826620967210257	0.0468207217192624	-0.196729231833175	-0.0370045299976097	-0.0433123574710273	-0.0857023158437497
Access.to.exercise.opportunities	-0.0510762211818112	0.0983129055385471	-0.127153458187971	-0.0326436680975192	-0.0936974670493046	0.287834706160556	-0.000962774217230026	-0.445031846062179	-0.0473746342211688	-0.139182584973868	-0.00377950288626632	0.206838707665638	0.186683576317343	0.0229075231428013	0.130937494513712
Excessive.drinking	-0.325793974833884	-0.0582162354876098	-0.194319416158138	0.00921719208911165	0.170837422675448	0.036587245131576	0.125701219244306	0.147698437708079	-0.0663501477079263	-0.0564131798978409	0.0268874866167557	0.0409757053548341	-0.0102453341419696	0.641969890087986	0.10434181729694
Alcohol.impaired.driving.deaths	-0.0401718067347556	0.132230307760549	0.131885824751049	-0.0718485318101376	-0.283615309609033	-0.0622527044546334	0.0815254708100788	-0.226001567125017	-0.034408148353143	0.0147733992720712	-0.0325995077891345	0.0970837151205202	0.110750625565846	0.735229479360454	-0.0337078775212521
Sexually.transmitted.infections	-0.00267632545072016	0.76031388016202	-0.0945481110958433	0.136032971423499	0.09585201528135	0.249467368412894	0.0395575410375257	-0.112598219919312	-7.2854012022383e-05	0.00691279738232441	0.0390881868149423	0.0736151111273532	0.0807286806350815	0.0621546088814533	-0.0323845944750848
Teen.births	0.521305590618323	0.272975975445374	0.186861763826332	0.189271116614558	-0.143028716631378	0.0999569562866859	0.11823628422128	0.0413993584904778	0.0139847764949028	0.0940508364062624	0.0555755551899069	-0.0891633342450305	0.00152220944363254	-0.00722293289522398	-0.0718684230371753
Primary.care.physicians	-0.13329443800865	0.0354562878948446	0.0156530313120838	-0.0691012229253574	0.104008010722407	0.627681403076691	-0.116296999435343	-0.0873854452478373	-0.0228912206089527	-0.042231290724932	-0.124103194599787	0.0987023294454612	0.0809249318853785	0.00350234119681518	0.0421579493279168
Dentists	-0.12637810533831	0.0080438955715916	0.00634818386510066	-0.0828939139780537	0.234975543478886	0.543484286174997	-0.0819019711092274	-0.19530107934569	-0.0408678068232641	0.027849216836362	-0.0350023928359712	0.189859065227078	0.120937417699962	-0.0112363702933886	0.0279502153902806
Mental.health.providers	-0.191174858658662	-0.0460063087322437	0.181827904384382	-0.196630181182475	0.275320145973737	0.617928722149178	0.0894274850309795	-0.1688860412612	0.0463500246147268	-0.0540697143175333	-0.0187254865123426	-0.0412464733946169	0.0647545638285513	-0.029685413142219	0.0398071937573165
Preventable.hospital.stays	-0.121156187777341	-0.00172181010270044	0.0526381405178157	0.758630785119627	0.0380461034966339	-0.0813067233572514	0.086539098880755	0.0878478587418333	-0.0037030425916055	-0.00967122140575846	0.0227158726286971	-0.132074309921429	-0.0972623406953233	-0.0329989717173952	0.012747207822919
Diabetic.screening	-0.0928563893278611	-0.111058899166454	-0.314162752773784	-0.102907000178022	-0.097795742039112	0.068176715737408	0.0643996769820395	0.626383322957422	0.0743882285798714	-0.0925527129284853	-0.00987708908701455	0.316587421963149	0.0242851519429814	-0.034817966528551	0.0336142271611025
Mammography.screening	-0.326869738021681	-0.044972082971242	-0.209105524955053	-0.201887097080002	-0.11731025387907	0.188441267979306	0.0698610729461336	0.338223819367522	0.0104018912826912	-0.0521976833495268	0.00106217646909594	0.322005528399627	0.00367569318182516	0.048079391190326	0.0669672244346775
High.school.graduation	-0.000978250574015835	-0.553945602590593	-0.141324217070319	0.338789637582574	-0.272286023119046	0.0335751268853227	-0.0915988741364236	0.1078327444285	-0.00781694604630694	-0.0125184699278007	0.0903609882123258	-0.027735645459968	-0.0176071578516926	0.220103045330048	0.0227724890761652
Some.college	-0.360965859338017	0.0824231107120203	-0.131562078134983	-0.156940418940603	0.0889689864305718	0.203128017392709	-0.37235540038149	-0.183682530057351	-0.0236502741712055	-0.0977814797326047	-0.0734000437207464	0.0597306819196193	0.137243008955046	0.0417281737928339	0.108495381890501
Children.in.poverty	0.301811024676608	0.414658297452943	0.0827466370819355	0.0984712420511076	0.121096933702987	0.0357133387917498	0.443516261020644	0.142039187125244	0.0320746577254057	0.0283569258119244	-0.000997827341137675	-0.0525499877021806	-0.0644105249626804	-0.0317592417296323	-0.0716864211913961
Children.in.single.parent.households	0.00285596822637066	0.619468749995006	-0.0112665430194031	0.142842027292873	0.114875082706077	0.189852983006649	0.359392020516227	0.0369780712754798	-0.0246786862199922	0.0321710473313334	0.0529046811389969	0.0438138044199537	-0.00888080062762	0.0152104780240899	-0.00975202030890314
Social.associations	-0.205263066815487	-0.0605438924866303	0.00366199767410753	0.170727020614134	0.0321146939059314	0.211682256500259	-0.20148542874211	0.582272186442015	-0.0424482800376708	0.0787186362588135	-0.00737137774335829	-0.186454543807518	-0.105290833267358	0.102361603193824	-0.0985360284426878
Violent.crime	0.0504461449893359	0.549872971411651	0.0337473021133494	0.187819175464958	0.0865572114396333	0.316019693794226	0.0934787571284279	-0.255560752320449	-0.0263316240085295	0.00312294647757387	0.0217424532018132	0.0859701462002851	0.102441239764171	0.0379133400309131	0.0428181934097414
Injury.deaths	0.106347192456024	0.0796905963534849	0.760006481050217	-0.0785044782233416	-0.00633858542243735	-0.0047961713720838	-0.0643007159769359	0.119242734155091	0.00666234429773997	0.00810427050201758	0.0376378742404891	-0.0793789766835068	-0.12997481349237	0.105416482524942	-0.0839813001431563
Air.pollution...particulate.matter	-0.54567954754185	0.353346228105855	0.0813680695226774	0.15584244530215	-0.117072723004713	-0.293179193803933	-0.182132649745825	0.095392746523588	-0.0135951617172222	0.0246203701448094	-0.0514788177600325	0.0759784564133062	0.0124923306967306	-0.255991319895648	-0.00093846796253769
Drinking.water.violations	-0.0389974283986764	-0.105214710617364	-0.139014349510777	0.0464124619917212	0.0884828415200697	0.0563062070161362	0.0235383224171888	-0.179876580945415	-0.0297233191940262	0.0219340792378506	0.0182805880679399	-0.864118159907408	0.0575661486401029	-0.0706503504626949	0.034715462918974
Severe.housing.problems	0.291300762132725	0.141593924664137	-0.277569736532556	-0.0912687991299868	0.347932387723726	0.0563479988261528	0.331674406184935	-0.306869874904479	-0.0230370964529269	-0.0722918302368284	0.00491350282380021	0.120535225209305	0.00638382858337049	0.0301721050047517	0.0390110936613669
Driving.alone.to.work	0.0261193784186356	0.0297561522936791	-0.0195691936312923	0.224662594639166	-0.839893629097485	-0.0806678179564961	-0.00965925216232324	-0.0822226663872037	0.0710916520617551	-0.00143786583587664	0.0166502912450386	0.103784017301409	-0.0932303549287304	0.0124462547406507	0.00105403445879047
Long.commute...driving.alone	-0.125603274844301	-0.11386096551916	0.00768904435353239	0.24107384695349	0.541186746418568	-0.556431859322008	0.0485133546649573	-0.210540810783965	-0.0297337217009276	-0.0310367930474065	0.0347479909251731	0.24572667442184	0.07831710191479	-0.0635134442060917	0.0494471853295849
Diabetes	-0.126912726744661	0.20718616761249	0.15556313941824	0.426830628658028	-0.127018632514617	-0.181476860602725	0.241857067014001	0.126865723245732	0.0586667707052503	0.0837893570000003	0.0160804060686131	-0.0794502906572115	-0.0631284560269082	-0.0677100350564922	-0.0907623335752868
HIV.prevalence.rate	0.0703476113311748	0.256350658387247	-0.112496711873773	0.114782242451683	0.705963352255097	0.113451870334541	-0.0304031909867144	0.0261973713765438	-0.0504915240613768	-0.0367148213509315	0.0448733957549497	0.0965245265125392	0.119792707348551	-0.137197635559411	0.0442188558793864
Premature.age.adjusted.mortality	0.014518033559791	0.321444245713669	0.487768191981387	0.320218399027281	-0.102355772876098	0.00983160924092046	0.13220246881905	0.0589463325373495	0.0292718062046896	0.0469373966483104	0.0217338970006663	-0.0895250423166067	-0.0399840629059729	-0.0154204002021441	-0.0740145207463138
Infant.mortality	-0.0942544582692246	0.65162599511494	0.100757515199059	0.300935496383865	-0.116189756315239	-0.00207216655204686	-0.0531851967857567	0.132527771680158	0.0577177328278657	0.124749930385507	0.0229413511320889	0.00740616102411808	-0.0804514218855841	-0.00189492828147599	-0.142638359965092
Child.mortality	0.120604661077467	0.492254280015006	0.277318189508762	0.233869389715682	0.0369454754398634	0.105333472874294	-0.158116042931979	0.175226232083719	0.0198845138597772	0.0635683868102415	0.0327446118816302	-0.0238303522767316	-0.0878877639218575	0.036806617895568	-0.140460181964631
Food.insecurity	0.265804878199281	0.62213129970373	0.104698293034614	-0.0363605432274899	0.0574211565859928	-0.0224888442456794	0.248955056598776	-0.0913765100382425	0.0317126538839523	-0.00582383170445608	0.0127478167490292	0.0404523020817534	0.0105580938012417	-0.115190770388283	-0.0330226268152382
Limited.access.to.healthy.foods	0.155007689059571	0.432944549273471	-0.0122604190801886	-0.21161055149393	-0.10747605405042	-0.166025634572729	-0.171203128253993	0.126686941367805	-0.000432327680373085	-0.155745646259633	-0.0457657718057021	-0.402722733797128	-0.0937260010331457	0.170117082986764	0.013842560704032
Motor.vehicle.crash.deaths	0.258732974325608	-0.0396177814857822	0.390442853348768	0.082023188427435	0.0948072021342829	-0.173770972163625	-0.131056873898679	0.290769145117826	0.0492673852989159	0.0734832246905169	0.0665780816158537	-0.116505457715016	-0.158460509763639	0.123514435512142	-0.162951568045256
Drug.poisoning.deaths	-0.0436446428454348	-0.0562620719636186	0.923751263953311	-0.0730348558253208	-0.019761329497641	0.124496540477321	0.0374398575731579	-0.155841278156335	-0.0400394376394217	-0.0630595854045786	0.00788702194309001	0.0504933557082155	-0.00600537898816692	-0.0688775116805448	0.0638992971656614
Health.care.costs	0.194292659382125	0.0248239354986023	-0.0949990514039772	0.809237854666604	-0.00706105651266761	-0.0746839255213316	-0.0627112820926092	-0.216898283887895	-0.0261863406207324	-0.0631028006168191	0.0128171103551283	0.113028380750392	0.0286601147695615	-0.119492720660458	0.033862780255963
Could.not.see.doctor.due.to.cost	0.631504740341123	0.0569228429982436	0.142986134541276	0.0771996886602661	0.015539040063276	-0.100670751322269	0.307187502648304	0.0460090306419777	-0.000471834661841188	0.0464029617865368	0.00557557579511375	0.0122599193519912	-0.00291991146063569	-0.101841266060319	-0.0484316411077596
Other.primary.care.providers	-0.040617190100361	0.118486536798485	0.143984792590546	-0.0107889549082627	0.0925740777829302	0.72883843714556	-0.140905677539928	0.245071992866928	0.0332366840521185	-0.0859055762183314	-0.0586452589070801	0.076950179955793	0.0142661233084353	-0.102515261673409	1.67666307300113e-05
Children.eligible.for.free.lunch	0.408424807025336	0.400070930979914	0.120792568251447	0.00304008025663648	0.169232247488751	0.0225867320196753	0.234159862823254	0.101153426976042	0.0242019125193814	0.0389423120417816	0.0445317559588533	0.0893652787440659	-0.0252290649095643	-0.140967603858543	-0.057722226103
AnnPayrollK	0.161817339475953	0.0625279542021408	0.0705445951436079	0.0822637132905947	0.297235350250516	-0.000401220693355409	-0.171703430717722	0.0648957560287509	0.100283059008736	0.0241196524964344	-0.109359057571687	0.0881336290953501	0.584295525169459	0.0410877660931084	0.120498977544621
nBiz	0.119118226578561	0.0297782909076201	0.105197646207771	0.012447762822931	0.263005009712754	-0.14563650147548	-0.392562766512901	0.099945780943143	0.308346458048841	0.0930555613044312	-0.0400873397707143	-0.0782950413970325	-0.186540897202356	0.394803120138277	-0.117660595902017
manufacturing	-0.0186209740810676	-0.0139368962339468	-0.0859746272663132	-0.0514469913586592	0.0118069417253749	0.0442322534873195	-0.0128260903417735	-0.069528221319062	-0.173512419777648	0.987313078853193	-0.0156237548937338	0.0114550356431964	-0.0537766667072099	-0.0177149081343489	0.00420289171120994
transportwarehousing	0.100782852047193	0.0111983904923956	0.185953093571905	0.136775048302684	-0.0478094715195256	0.00342028358105715	0.0369615118052886	0.147808542767424	-0.015834109493979	0.0367039833774915	0.00354787555205045	-0.0794427561831481	-0.020892799150468	0.0904580744769811	0.821264140482681
Finance_and_Insurance	-0.0111807855799813	0.0221122053184542	0.0789663528099531	-0.0045785373709557	-0.0313090056695542	-0.12822095937388	-0.023375183136509	0.191055916756669	0.00653535491501588	-0.0386848033794339	0.00754123244644152	-0.160145226969099	0.811556957244999	0.0561193439473069	-0.0579677932035446
Professional_Scientific_and_Technical_Services	0.182324875163554	-0.0742191508117641	0.0897861719115836	-0.0258511632522599	-0.0439525779436004	-0.00401018952216432	-0.008106817016562	0.206237969340002	-0.175661831296236	0.327958747210837	-0.0164182789521045	0.231144422299347	0.297381690058361	0.0843052219808172	-0.0257175165135517
Management_of_Companies_and_Enterprises	0.00833825654510571	0.127967707417094	-0.00555944513343407	-0.0229507330434493	-0.00867495958516537	-0.107103642322717	-0.0411489319327502	0.133183867918256	-0.0885182709919154	0.107536403664184	-0.0152013081215248	-0.0749049763145703	0.325251043177705	0.0820359011766262	-0.00863800978093225
Administrative_and_Support_and_Waste_Management_and_Remediation_Services	-0.00244086471124538	0.0839673738386864	0.0876085118958926	0.0240383984004712	0.00746507479497564	-0.140959842482944	0.0138693344160631	0.0703508852037558	0.159532750572008	0.120120351009975	0.0319772410159496	-0.0707488176403191	-0.0690110144929393	-0.0832685716590213	0.74571531050511
Educational_Services	-0.116797387351142	-0.0953894086486885	-0.0453574275335242	-0.0864157879391682	-0.0494859513427356	-0.0388812211868373	0.162643864424812	-0.0186352795652874	0.336371556610469	0.0713286611934198	0.104129551134532	-0.136392781064765	0.365722581816374	-0.0457000654542233	-0.242680758057235
Health_Care_and_Social_Assistance	-0.0174411222195273	-0.0099905018352968	-0.0498516986237873	-0.00342347381722522	-0.0313366208280996	0.0450532092421326	0.0321465834879828	-0.0352296021320798	0.949854053924003	0.0258643661567877	-0.00792400184614904	0.0439948333238086	0.0200394612914131	-0.0459637061501827	0.0312552218783658
General_Medical_and_Surgical_Hospitals	-0.0216794957381369	-0.0175916394160444	-0.0402392714820794	-0.00258126055990584	-0.0572106007455516	0.0488644785980011	0.0377612744100144	-0.0467877590547222	0.961121693159187	-0.0470877212308118	-0.0164437618850922	0.0166558934033309	0.0338056925432828	-0.0305233132711316	0.0495454921208822
nClassifiedBiz	-0.0223957312090647	0.00578300697192122	-0.0572808754921547	-0.0800892099320233	-0.00425210973576316	-0.0164734379088783	0.00901124988162837	-0.0374044015553271	0.356178731193886	0.818182790639867	0.0166045523300992	0.00922256398764523	0.0943887204463989	0.00458206128900731	0.118406134794911
