                                                    MR3        MR3
Professional_Scientific_and_Technical_Services                            0.32795875  0.182324875
Limited.access.to.healthy.foods                                          -0.15574565  0.155007689
storesPerCapita                                                           0.14809136  0.076362356
Access.to.exercise.opportunities                                         -0.13918258 -0.051076221
Infant.mortality                                                          0.12474993 -0.094254458
Administrative_and_Support_and_Waste_Management_and_Remediation_Services  0.12012035 -0.002440865
Management_of_Companies_and_Enterprises                                   0.10753640  0.008338257
Some.college                                                             -0.09778148 -0.360965859
                                   MR8           MR3
medical                    -0.98353532  0.0044611910
retail                      0.97341485 -0.0243657744
Primary.care.physicians    -0.12410319 -0.1332944380
AnnPayrollK                -0.10935906  0.1618173395
Educational_Services        0.10412955 -0.1167973874
High.school.graduation      0.09036099 -0.0009782506
storesPerCapita            -0.08050939  0.0763623557
Some.college               -0.07340004 -0.3609658593
Motor.vehicle.crash.deaths  0.06657808  0.2587329743
Unemployment               -0.06273430 -0.1293586387
                                                     MR14         MR3
Drinking.water.violations                      -0.8641182 -0.03899743
Limited.access.to.healthy.foods                -0.4027227  0.15500769
Mammography.screening                           0.3220055 -0.32686974
Diabetic.screening                              0.3165874 -0.09285639
population                                      0.2524632  0.29981092
Long.commute...driving.alone                    0.2457267 -0.12560327
Professional_Scientific_and_Technical_Services  0.2311444  0.18232488
Access.to.exercise.opportunities                0.2068387 -0.05107622
Food.environment.index                          0.2014208 -0.29358247
Physical.inactivity                            -0.1967292 -0.04362970
                                                     MR15          MR3
Finance_and_Insurance                           0.8115570 -0.011180786
AnnPayrollK                                     0.5842955  0.161817339
Educational_Services                            0.3657226 -0.116797387
Management_of_Companies_and_Enterprises         0.3252510  0.008338257
Professional_Scientific_and_Technical_Services  0.2973817  0.182324875
Population.living.in.a.rural.area              -0.2296032 -0.022573048
Access.to.exercise.opportunities                0.1866836 -0.051076221
nBiz                                           -0.1865409  0.119118227
storesPerCapita                                -0.1799048  0.076362356
Motor.vehicle.crash.deaths                     -0.1584605  0.258732974
                                         MR11           MR3
Alcohol.impaired.driving.deaths     0.7352295 -0.0401718067
Excessive.drinking                  0.6419699 -0.3257939748
nBiz                                0.3948031  0.1191182266
storesPerCapita                     0.2605966  0.0763623557
Air.pollution...particulate.matter -0.2559913 -0.5456795475
High.school.graduation              0.2201030 -0.0009782506
Low.birthweight                    -0.1712349 -0.0611586584
Limited.access.to.healthy.foods     0.1701171  0.1550076891
population                          0.1459848  0.2998109171
Children.eligible.for.free.lunch   -0.1409676  0.4084248070
                                                                               MR13          MR3
transportwarehousing                                                      0.8212641  0.100782852
Administrative_and_Support_and_Waste_Management_and_Remediation_Services  0.7457153 -0.002440865
Educational_Services                                                     -0.2426808 -0.116797387
Motor.vehicle.crash.deaths                                               -0.1629516  0.258732974
Infant.mortality                                                         -0.1426384 -0.094254458
Poor.physical.health.days                                                -0.1420703  0.109417879
Child.mortality                                                          -0.1404602  0.120604661
Access.to.exercise.opportunities                                          0.1309375 -0.051076221
AnnPayrollK                                                               0.1204990  0.161817339
Poor.or.fair.health                                                      -0.1192275  0.312047259
